"n_fish","survival_b","0-50","50-100","100-150","150-200","200-250"
1,"0.2-0.3",66,0,0,0,0
1,"0.3-0.4",279,0,0,0,0
1,"0.4-0.5",298,0,0,0,0
1,"0.5-0.6",141,0,0,0,0
1,"0.6-0.7",11,0,0,0,0
2,"0.2-0.3",179,0,0,0,0
2,"0.3-0.4",570,0,0,0,0
2,"0.4-0.5",639,0,0,0,0
2,"0.5-0.6",293,0,0,0,0
2,"0.6-0.7",19,0,0,0,0
3,"0.2-0.3",150,0,0,0,0
3,"0.3-0.4",570,0,0,0,0
3,"0.4-0.5",670,0,0,0,0
3,"0.5-0.6",313,0,0,0,0
3,"0.6-0.7",15,0,0,0,0
4,"0.2-0.3",164,0,0,0,0
4,"0.3-0.4",577,0,0,0,0
4,"0.4-0.5",600,0,0,0,0
4,"0.5-0.6",305,0,0,0,0
4,"0.6-0.7",19,0,0,0,0
5,"0.2-0.3",133,0,0,0,0
5,"0.3-0.4",560,0,0,0,0
5,"0.4-0.5",633,0,0,0,0
5,"0.5-0.6",294,0,0,0,0
5,"0.6-0.7",14,0,0,0,0
6,"0.2-0.3",181,0,0,0,0
6,"0.3-0.4",568,0,0,0,0
6,"0.4-0.5",627,0,0,0,0
6,"0.5-0.6",319,0,0,0,0
6,"0.6-0.7",11,0,0,0,0
7,"0.2-0.3",162,0,0,0,0
7,"0.3-0.4",586,0,0,0,0
7,"0.4-0.5",651,0,0,0,0
7,"0.5-0.6",299,0,0,0,0
7,"0.6-0.7",14,0,0,0,0
8,"0.2-0.3",149,0,0,0,0
8,"0.3-0.4",569,0,0,0,0
8,"0.4-0.5",675,0,0,0,0
8,"0.5-0.6",281,0,0,0,0
8,"0.6-0.7",7,0,0,0,0
9,"0.2-0.3",117,0,0,0,0
9,"0.3-0.4",537,0,0,0,0
9,"0.4-0.5",640,0,0,0,0
9,"0.5-0.6",287,0,0,0,0
9,"0.6-0.7",17,0,0,0,0
10,"0.2-0.3",162,0,0,0,0
10,"0.3-0.4",589,0,0,0,0
10,"0.4-0.5",640,0,0,0,0
10,"0.5-0.6",259,0,0,0,0
10,"0.6-0.7",13,0,0,0,0
11,"0.2-0.3",147,0,0,0,0
11,"0.3-0.4",588,0,0,0,0
11,"0.4-0.5",635,0,0,0,0
11,"0.5-0.6",249,0,0,0,0
11,"0.6-0.7",15,0,0,0,0
12,"0.2-0.3",124,0,0,0,0
12,"0.3-0.4",546,0,0,0,0
12,"0.4-0.5",657,0,0,0,0
12,"0.5-0.6",288,0,0,0,0
12,"0.6-0.7",21,0,0,0,0
13,"0.2-0.3",167,0,0,0,0
13,"0.3-0.4",559,0,0,0,0
13,"0.4-0.5",659,0,0,0,0
13,"0.5-0.6",292,0,0,0,0
13,"0.6-0.7",16,0,0,0,0
14,"0.2-0.3",181,0,0,0,0
14,"0.3-0.4",612,0,0,0,0
14,"0.4-0.5",620,0,0,0,0
14,"0.5-0.6",306,0,0,0,0
14,"0.6-0.7",12,0,0,0,0
15,"0.2-0.3",168,0,0,0,0
15,"0.3-0.4",546,0,0,0,0
15,"0.4-0.5",677,0,0,0,0
15,"0.5-0.6",305,0,0,0,0
15,"0.6-0.7",12,0,0,0,0
16,"0.2-0.3",159,0,0,0,0
16,"0.3-0.4",563,0,0,0,0
16,"0.4-0.5",649,0,0,0,0
16,"0.5-0.6",302,0,0,0,0
16,"0.6-0.7",21,0,0,0,0
17,"0.2-0.3",158,0,0,0,0
17,"0.3-0.4",595,0,0,0,0
17,"0.4-0.5",662,0,0,0,0
17,"0.5-0.6",290,0,0,0,0
17,"0.6-0.7",17,0,0,0,0
18,"0.2-0.3",151,0,0,0,0
18,"0.3-0.4",585,0,0,0,0
18,"0.4-0.5",591,0,0,0,0
18,"0.5-0.6",289,0,0,0,0
18,"0.6-0.7",15,0,0,0,0
19,"0.2-0.3",160,0,0,0,0
19,"0.3-0.4",566,0,0,0,0
19,"0.4-0.5",657,0,0,0,0
19,"0.5-0.6",300,0,0,0,0
19,"0.6-0.7",16,0,0,0,0
20,"0.2-0.3",179,0,0,0,0
20,"0.3-0.4",594,0,0,0,0
20,"0.4-0.5",618,0,0,0,0
20,"0.5-0.6",310,0,0,0,0
20,"0.6-0.7",15,0,0,0,0
21,"0.2-0.3",146,0,0,0,0
21,"0.3-0.4",585,0,0,0,0
21,"0.4-0.5",676,0,0,0,0
21,"0.5-0.6",317,0,0,0,0
21,"0.6-0.7",20,0,0,0,0
22,"0.2-0.3",158,0,0,0,0
22,"0.3-0.4",592,0,0,0,0
22,"0.4-0.5",642,0,0,0,0
22,"0.5-0.6",278,0,0,0,0
22,"0.6-0.7",28,0,0,0,0
23,"0.2-0.3",163,0,0,0,0
23,"0.3-0.4",603,0,0,0,0
23,"0.4-0.5",625,0,0,0,0
23,"0.5-0.6",264,0,0,0,0
23,"0.6-0.7",26,0,0,0,0
24,"0.2-0.3",169,0,0,0,0
24,"0.3-0.4",581,0,0,0,0
24,"0.4-0.5",642,0,0,0,0
24,"0.5-0.6",286,0,0,0,0
24,"0.6-0.7",18,0,0,0,0
25,"0.2-0.3",146,0,0,0,0
25,"0.3-0.4",574,0,0,0,0
25,"0.4-0.5",652,0,0,0,0
25,"0.5-0.6",288,0,0,0,0
25,"0.6-0.7",17,0,0,0,0
26,"0.2-0.3",134,0,0,0,0
26,"0.3-0.4",578,0,0,0,0
26,"0.4-0.5",625,0,0,0,0
26,"0.5-0.6",281,0,0,0,0
26,"0.6-0.7",12,0,0,0,0
27,"0.2-0.3",123,0,0,0,0
27,"0.3-0.4",566,0,0,0,0
27,"0.4-0.5",625,0,0,0,0
27,"0.5-0.6",305,0,0,0,0
27,"0.6-0.7",17,0,0,0,0
28,"0.2-0.3",135,0,0,0,0
28,"0.3-0.4",602,0,0,0,0
28,"0.4-0.5",652,0,0,0,0
28,"0.5-0.6",286,0,0,0,0
28,"0.6-0.7",17,0,0,0,0
29,"0.2-0.3",147,0,0,0,0
29,"0.3-0.4",602,0,0,0,0
29,"0.4-0.5",627,0,0,0,0
29,"0.5-0.6",300,0,0,0,0
29,"0.6-0.7",16,0,0,0,0
30,"0.2-0.3",162,0,0,0,0
30,"0.3-0.4",594,0,0,0,0
30,"0.4-0.5",629,0,0,0,0
30,"0.5-0.6",299,0,0,0,0
30,"0.6-0.7",26,0,0,0,0
31,"0.2-0.3",165,0,0,0,0
31,"0.3-0.4",574,0,0,0,0
31,"0.4-0.5",597,0,0,0,0
31,"0.5-0.6",281,0,0,0,0
31,"0.6-0.7",10,0,0,0,0
32,"0.2-0.3",171,0,0,0,0
32,"0.3-0.4",592,0,0,0,0
32,"0.4-0.5",598,0,0,0,0
32,"0.5-0.6",286,0,0,0,0
32,"0.6-0.7",13,0,0,0,0
33,"0.2-0.3",138,0,0,0,0
33,"0.3-0.4",597,0,0,0,0
33,"0.4-0.5",593,0,0,0,0
33,"0.5-0.6",297,0,0,0,0
33,"0.6-0.7",17,0,0,0,0
34,"0.2-0.3",168,0,0,0,0
34,"0.3-0.4",562,0,0,0,0
34,"0.4-0.5",603,0,0,0,0
34,"0.5-0.6",305,0,0,0,0
34,"0.6-0.7",12,0,0,0,0
35,"0.2-0.3",154,0,0,0,0
35,"0.3-0.4",558,0,0,0,0
35,"0.4-0.5",675,0,0,0,0
35,"0.5-0.6",292,0,0,0,0
35,"0.6-0.7",15,0,0,0,0
36,"0.2-0.3",139,0,0,0,0
36,"0.3-0.4",583,0,0,0,0
36,"0.4-0.5",644,0,0,0,0
36,"0.5-0.6",275,0,0,0,0
36,"0.6-0.7",13,0,0,0,0
37,"0.2-0.3",156,0,0,0,0
37,"0.3-0.4",600,0,0,0,0
37,"0.4-0.5",624,0,0,0,0
37,"0.5-0.6",305,0,0,0,0
37,"0.6-0.7",16,0,0,0,0
38,"0.2-0.3",150,0,0,0,0
38,"0.3-0.4",594,0,0,0,0
38,"0.4-0.5",591,0,0,0,0
38,"0.5-0.6",332,0,0,0,0
38,"0.6-0.7",18,0,0,0,0
39,"0.2-0.3",160,0,0,0,0
39,"0.3-0.4",583,0,0,0,0
39,"0.4-0.5",636,0,0,0,0
39,"0.5-0.6",270,0,0,0,0
39,"0.6-0.7",19,0,0,0,0
40,"0.2-0.3",167,0,0,0,0
40,"0.3-0.4",601,0,0,0,0
40,"0.4-0.5",620,0,0,0,0
40,"0.5-0.6",262,0,0,0,0
40,"0.6-0.7",20,0,0,0,0
41,"0.2-0.3",138,0,0,0,0
41,"0.3-0.4",596,0,0,0,0
41,"0.4-0.5",652,0,0,0,0
41,"0.5-0.6",295,0,0,0,0
41,"0.6-0.7",15,0,0,0,0
42,"0.2-0.3",140,0,0,0,0
42,"0.3-0.4",614,0,0,0,0
42,"0.4-0.5",655,0,0,0,0
42,"0.5-0.6",272,0,0,0,0
42,"0.6-0.7",18,0,0,0,0
43,"0.2-0.3",147,0,0,0,0
43,"0.3-0.4",631,0,0,0,0
43,"0.4-0.5",615,0,0,0,0
43,"0.5-0.6",282,0,0,0,0
43,"0.6-0.7",17,0,0,0,0
44,"0.2-0.3",138,0,0,0,0
44,"0.3-0.4",586,0,0,0,0
44,"0.4-0.5",627,0,0,0,0
44,"0.5-0.6",266,0,0,0,0
44,"0.6-0.7",19,0,0,0,0
45,"0.2-0.3",184,0,0,0,0
45,"0.3-0.4",545,0,0,0,0
45,"0.4-0.5",596,0,0,0,0
45,"0.5-0.6",299,0,0,0,0
45,"0.6-0.7",19,0,0,0,0
46,"0.2-0.3",154,0,0,0,0
46,"0.3-0.4",560,0,0,0,0
46,"0.4-0.5",575,0,0,0,0
46,"0.5-0.6",292,0,0,0,0
46,"0.6-0.7",15,0,0,0,0
47,"0.2-0.3",174,0,0,0,0
47,"0.3-0.4",580,0,0,0,0
47,"0.4-0.5",614,0,0,0,0
47,"0.5-0.6",299,0,0,0,0
47,"0.6-0.7",20,0,0,0,0
48,"0.2-0.3",172,0,0,0,0
48,"0.3-0.4",574,0,0,0,0
48,"0.4-0.5",645,0,0,0,0
48,"0.5-0.6",282,0,0,0,0
48,"0.6-0.7",20,0,0,0,0
49,"0.2-0.3",163,0,0,0,0
49,"0.3-0.4",617,0,0,0,0
49,"0.4-0.5",692,0,0,0,0
49,"0.5-0.6",307,0,0,0,0
49,"0.6-0.7",19,0,0,0,0
50,"0.2-0.3",168,0,0,0,0
50,"0.3-0.4",559,0,0,0,0
50,"0.4-0.5",668,0,0,0,0
50,"0.5-0.6",294,0,0,0,0
50,"0.6-0.7",21,0,0,0,0
51,"0.2-0.3",164,0,0,0,0
51,"0.3-0.4",577,0,0,0,0
51,"0.4-0.5",609,0,0,0,0
51,"0.5-0.6",263,0,0,0,0
51,"0.6-0.7",19,0,0,0,0
52,"0.2-0.3",182,0,0,0,0
52,"0.3-0.4",569,0,0,0,0
52,"0.4-0.5",664,0,0,0,0
52,"0.5-0.6",279,0,0,0,0
52,"0.6-0.7",12,0,0,0,0
53,"0.2-0.3",158,0,0,0,0
53,"0.3-0.4",558,0,0,0,0
53,"0.4-0.5",581,0,0,0,0
53,"0.5-0.6",305,0,0,0,0
53,"0.6-0.7",17,0,0,0,0
54,"0.2-0.3",173,0,0,0,0
54,"0.3-0.4",572,0,0,0,0
54,"0.4-0.5",669,0,0,0,0
54,"0.5-0.6",288,0,0,0,0
54,"0.6-0.7",13,0,0,0,0
55,"0.2-0.3",130,0,0,0,0
55,"0.3-0.4",559,0,0,0,0
55,"0.4-0.5",623,0,0,0,0
55,"0.5-0.6",279,0,0,0,0
55,"0.6-0.7",14,0,0,0,0
56,"0.2-0.3",149,0,0,0,0
56,"0.3-0.4",598,0,0,0,0
56,"0.4-0.5",692,0,0,0,0
56,"0.5-0.6",283,0,0,0,0
56,"0.6-0.7",17,0,0,0,0
57,"0.2-0.3",136,0,0,0,0
57,"0.3-0.4",559,0,0,0,0
57,"0.4-0.5",633,0,0,0,0
57,"0.5-0.6",291,0,0,0,0
57,"0.6-0.7",13,0,0,0,0
58,"0.2-0.3",135,0,0,0,0
58,"0.3-0.4",531,0,0,0,0
58,"0.4-0.5",619,0,0,0,0
58,"0.5-0.6",288,0,0,0,0
58,"0.6-0.7",15,0,0,0,0
59,"0.2-0.3",139,0,0,0,0
59,"0.3-0.4",616,0,0,0,0
59,"0.4-0.5",608,0,0,0,0
59,"0.5-0.6",273,0,0,0,0
59,"0.6-0.7",20,0,0,0,0
60,"0.2-0.3",138,0,0,0,0
60,"0.3-0.4",561,0,0,0,0
60,"0.4-0.5",638,0,0,0,0
60,"0.5-0.6",309,0,0,0,0
60,"0.6-0.7",21,0,0,0,0
61,"0.2-0.3",145,0,0,0,0
61,"0.3-0.4",537,0,0,0,0
61,"0.4-0.5",638,0,0,0,0
61,"0.5-0.6",297,0,0,0,0
61,"0.6-0.7",16,0,0,0,0
62,"0.2-0.3",172,0,0,0,0
62,"0.3-0.4",612,0,0,0,0
62,"0.4-0.5",655,0,0,0,0
62,"0.5-0.6",294,0,0,0,0
62,"0.6-0.7",20,0,0,0,0
63,"0.2-0.3",175,0,0,0,0
63,"0.3-0.4",534,0,0,0,0
63,"0.4-0.5",655,0,0,0,0
63,"0.5-0.6",331,0,0,0,0
63,"0.6-0.7",14,0,0,0,0
64,"0.2-0.3",143,0,0,0,0
64,"0.3-0.4",600,0,0,0,0
64,"0.4-0.5",672,0,0,0,0
64,"0.5-0.6",295,0,0,0,0
64,"0.6-0.7",22,0,0,0,0
65,"0.2-0.3",163,0,0,0,0
65,"0.3-0.4",573,0,0,0,0
65,"0.4-0.5",627,0,0,0,0
65,"0.5-0.6",307,0,0,0,0
65,"0.6-0.7",15,0,0,0,0
66,"0.2-0.3",181,0,0,0,0
66,"0.3-0.4",587,0,0,0,0
66,"0.4-0.5",621,0,0,0,0
66,"0.5-0.6",307,0,0,0,0
66,"0.6-0.7",21,0,0,0,0
67,"0.2-0.3",168,0,0,0,0
67,"0.3-0.4",598,0,0,0,0
67,"0.4-0.5",626,0,0,0,0
67,"0.5-0.6",315,0,0,0,0
67,"0.6-0.7",27,0,0,0,0
68,"0.2-0.3",161,0,0,0,0
68,"0.3-0.4",583,0,0,0,0
68,"0.4-0.5",601,0,0,0,0
68,"0.5-0.6",239,0,0,0,0
68,"0.6-0.7",15,0,0,0,0
69,"0.2-0.3",154,0,0,0,0
69,"0.3-0.4",582,0,0,0,0
69,"0.4-0.5",621,0,0,0,0
69,"0.5-0.6",309,1,0,0,0
69,"0.6-0.7",20,0,0,0,0
70,"0.2-0.3",153,0,0,0,0
70,"0.3-0.4",588,0,0,0,0
70,"0.4-0.5",656,0,0,0,0
70,"0.5-0.6",320,0,0,0,0
70,"0.6-0.7",21,1,0,0,0
71,"0.2-0.3",172,0,0,0,0
71,"0.3-0.4",505,0,0,0,0
71,"0.4-0.5",628,0,0,0,0
71,"0.5-0.6",255,4,0,0,0
71,"0.6-0.7",24,1,0,0,0
72,"0.2-0.3",159,0,0,0,0
72,"0.3-0.4",564,0,0,0,0
72,"0.4-0.5",593,0,0,0,0
72,"0.5-0.6",270,2,0,0,0
72,"0.6-0.7",18,0,0,0,0
73,"0.2-0.3",144,0,0,0,0
73,"0.3-0.4",581,0,0,0,0
73,"0.4-0.5",621,0,0,0,0
73,"0.5-0.6",297,3,0,0,0
73,"0.6-0.7",17,0,0,0,0
74,"0.2-0.3",164,0,0,0,0
74,"0.3-0.4",587,0,0,0,0
74,"0.4-0.5",638,0,0,0,0
74,"0.5-0.6",271,3,0,0,0
74,"0.6-0.7",17,4,0,0,0
75,"0.2-0.3",142,0,0,0,0
75,"0.3-0.4",609,0,0,0,0
75,"0.4-0.5",652,1,0,0,0
75,"0.5-0.6",301,8,0,0,0
75,"0.6-0.7",7,2,0,0,0
76,"0.2-0.3",161,0,0,0,0
76,"0.3-0.4",530,0,0,0,0
76,"0.4-0.5",635,0,0,0,0
76,"0.5-0.6",281,6,0,0,0
76,"0.6-0.7",11,5,0,0,0
77,"0.2-0.3",169,0,0,0,0
77,"0.3-0.4",587,0,0,0,0
77,"0.4-0.5",636,0,0,0,0
77,"0.5-0.6",269,9,0,0,0
77,"0.6-0.7",13,6,0,0,0
78,"0.2-0.3",152,0,0,0,0
78,"0.3-0.4",537,0,0,0,0
78,"0.4-0.5",651,1,0,0,0
78,"0.5-0.6",292,17,0,0,0
78,"0.6-0.7",9,6,0,0,0
79,"0.2-0.3",136,0,0,0,0
79,"0.3-0.4",551,0,0,0,0
79,"0.4-0.5",664,2,0,0,0
79,"0.5-0.6",285,14,0,0,0
79,"0.6-0.7",12,4,0,0,0
80,"0.2-0.3",149,0,0,0,0
80,"0.3-0.4",584,0,0,0,0
80,"0.4-0.5",640,0,0,0,0
80,"0.5-0.6",253,18,0,0,0
80,"0.6-0.7",10,9,0,0,0
81,"0.2-0.3",137,0,0,0,0
81,"0.3-0.4",580,0,0,0,0
81,"0.4-0.5",617,0,0,0,0
81,"0.5-0.6",297,30,0,0,0
81,"0.6-0.7",9,9,0,0,0
82,"0.2-0.3",148,0,0,0,0
82,"0.3-0.4",540,0,0,0,0
82,"0.4-0.5",625,3,0,0,0
82,"0.5-0.6",257,32,0,0,0
82,"0.6-0.7",14,6,0,0,0
83,"0.2-0.3",194,0,0,0,0
83,"0.3-0.4",588,0,0,0,0
83,"0.4-0.5",614,2,0,0,0
83,"0.5-0.6",276,42,0,0,0
83,"0.6-0.7",6,2,0,0,0
84,"0.2-0.3",140,0,0,0,0
84,"0.3-0.4",578,0,0,0,0
84,"0.4-0.5",646,5,0,0,0
84,"0.5-0.6",204,49,0,0,0
84,"0.6-0.7",10,9,0,0,0
85,"0.2-0.3",148,0,0,0,0
85,"0.3-0.4",568,0,0,0,0
85,"0.4-0.5",651,1,0,0,0
85,"0.5-0.6",213,60,0,0,0
85,"0.6-0.7",11,7,0,0,0
86,"0.2-0.3",170,0,0,0,0
86,"0.3-0.4",563,0,0,0,0
86,"0.4-0.5",598,9,0,0,0
86,"0.5-0.6",230,61,0,0,0
86,"0.6-0.7",6,10,0,0,0
87,"0.2-0.3",160,0,0,0,0
87,"0.3-0.4",592,0,0,0,0
87,"0.4-0.5",630,12,0,0,0
87,"0.5-0.6",199,62,0,0,0
87,"0.6-0.7",6,14,0,0,0
88,"0.2-0.3",162,0,0,0,0
88,"0.3-0.4",549,0,0,0,0
88,"0.4-0.5",607,14,0,0,0
88,"0.5-0.6",203,68,0,0,0
88,"0.6-0.7",5,7,0,0,0
89,"0.2-0.3",151,0,0,0,0
89,"0.3-0.4",559,0,0,0,0
89,"0.4-0.5",633,11,0,0,0
89,"0.5-0.6",196,87,0,0,0
89,"0.6-0.7",6,19,0,0,0
90,"0.2-0.3",141,0,0,0,0
90,"0.3-0.4",614,0,0,0,0
90,"0.4-0.5",624,19,0,0,0
90,"0.5-0.6",177,112,0,0,0
90,"0.6-0.7",4,13,0,0,0
91,"0.2-0.3",164,0,0,0,0
91,"0.3-0.4",551,0,0,0,0
91,"0.4-0.5",644,25,0,0,0
91,"0.5-0.6",188,123,0,0,0
91,"0.6-0.7",3,18,0,0,0
92,"0.2-0.3",172,0,0,0,0
92,"0.3-0.4",561,2,0,0,0
92,"0.4-0.5",585,34,0,0,0
92,"0.5-0.6",178,138,0,0,0
92,"0.6-0.7",2,16,0,0,0
93,"0.2-0.3",147,0,0,0,0
93,"0.3-0.4",573,0,0,0,0
93,"0.4-0.5",593,28,0,0,0
93,"0.5-0.6",134,135,0,0,0
93,"0.6-0.7",2,14,0,0,0
94,"0.2-0.3",168,0,0,0,0
94,"0.3-0.4",599,1,0,0,0
94,"0.4-0.5",580,51,0,0,0
94,"0.5-0.6",133,139,0,0,0
94,"0.6-0.7",2,15,0,0,0
95,"0.2-0.3",164,0,0,0,0
95,"0.3-0.4",578,0,0,0,0
95,"0.4-0.5",597,42,0,0,0
95,"0.5-0.6",125,150,0,0,0
95,"0.6-0.7",1,14,0,0,0
96,"0.2-0.3",146,0,0,0,0
96,"0.3-0.4",601,0,0,0,0
96,"0.4-0.5",571,56,0,0,0
96,"0.5-0.6",108,151,0,0,0
96,"0.6-0.7",0,8,0,0,0
97,"0.2-0.3",164,0,0,0,0
97,"0.3-0.4",563,3,0,0,0
97,"0.4-0.5",585,59,0,0,0
97,"0.5-0.6",110,192,0,0,0
97,"0.6-0.7",0,19,0,0,0
98,"0.2-0.3",151,0,0,0,0
98,"0.3-0.4",623,0,0,0,0
98,"0.4-0.5",576,77,0,0,0
98,"0.5-0.6",101,176,0,0,0
98,"0.6-0.7",0,20,0,0,0
99,"0.2-0.3",147,0,0,0,0
99,"0.3-0.4",548,1,0,0,0
99,"0.4-0.5",570,79,0,0,0
99,"0.5-0.6",87,210,0,0,0
99,"0.6-0.7",0,22,0,0,0
100,"0.2-0.3",152,0,0,0,0
100,"0.3-0.4",554,1,0,0,0
100,"0.4-0.5",548,92,0,0,0
100,"0.5-0.6",75,189,0,0,0
100,"0.6-0.7",0,22,0,0,0
101,"0.2-0.3",140,0,0,0,0
101,"0.3-0.4",573,1,0,0,0
101,"0.4-0.5",516,116,0,0,0
101,"0.5-0.6",72,238,0,0,0
101,"0.6-0.7",0,22,0,0,0
102,"0.2-0.3",148,0,0,0,0
102,"0.3-0.4",585,5,0,0,0
102,"0.4-0.5",540,114,0,0,0
102,"0.5-0.6",53,225,0,0,0
102,"0.6-0.7",0,21,0,0,0
103,"0.2-0.3",161,0,0,0,0
103,"0.3-0.4",594,4,0,0,0
103,"0.4-0.5",525,137,0,0,0
103,"0.5-0.6",63,239,0,0,0
103,"0.6-0.7",0,15,0,0,0
104,"0.2-0.3",158,0,0,0,0
104,"0.3-0.4",586,3,0,0,0
104,"0.4-0.5",453,138,0,0,0
104,"0.5-0.6",56,240,0,0,0
